[ 2012-12-17T15:38:18+08:00 ] /ComputerAssets/index.php/User/register | INFO: Tag[ view_filter ] --START--
[ 2012-12-17T15:38:18+08:00 ] /ComputerAssets/index.php/User/register | INFO: Run ContentReplace Behavior [ RunTime:0.000502s ]
[ 2012-12-17T15:38:18+08:00 ] /ComputerAssets/index.php/User/register | INFO: Run TokenBuild Behavior [ RunTime:0.000571s ]
[ 2012-12-17T15:38:18+08:00 ] /ComputerAssets/index.php/User/register | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000422s ]
[ 2012-12-17T15:38:18+08:00 ] /ComputerAssets/index.php/User/register | INFO: Run ShowRuntime Behavior [ RunTime:0.000615s ]
[ 2012-12-17T15:38:18+08:00 ] /ComputerAssets/index.php/User/register | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002306s ]
[ 2012-12-17T15:38:18+08:00 ] /ComputerAssets/index.php/User/register | INFO: Tag[ view_end ] --START--
[ 2012-12-17T15:38:18+08:00 ] /ComputerAssets/index.php/User/register | INFO: Run ShowPageTrace Behavior [ RunTime:0.000589s ]
[ 2012-12-17T15:38:18+08:00 ] /ComputerAssets/index.php/User/register | INFO: Tag[ view_end ] --END-- [ RunTime:0.000656s ]
[ 2012-12-17T15:38:19+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Tag[ route_check ] --START--
[ 2012-12-17T15:38:19+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Run CheckRoute Behavior [ RunTime:0.001021s ]
[ 2012-12-17T15:38:19+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Tag[ route_check ] --END-- [ RunTime:0.001122s ]
[ 2012-12-17T15:38:19+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Tag[ app_begin ] --START--
[ 2012-12-17T15:38:19+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000780s ]
[ 2012-12-17T15:38:19+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000879s ]
[ 2012-12-17T15:38:19+08:00 ] /ComputerAssets/index.php/User/logOn | NOTIC: [8] Undefined index:  userName UserAction.class.php 第 19 行.
[ 2012-12-17T15:38:19+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Tag[ view_template ] --START--
[ 2012-12-17T15:38:19+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Run LocationTemplate Behavior [ RunTime:0.000590s ]
[ 2012-12-17T15:38:19+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Tag[ view_template ] --END-- [ RunTime:0.000683s ]
[ 2012-12-17T15:38:19+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Tag[ view_parse ] --START--
[ 2012-12-17T15:38:19+08:00 ] /ComputerAssets/index.php/User/logOn | NOTIC: [8] Undefined index:  userName d16fb8dd5cb09c533fe8af903d5b11b7.php 第 40 行.
[ 2012-12-17T15:38:19+08:00 ] /ComputerAssets/index.php/User/logOn | NOTIC: [8] Undefined variable: UserName d16fb8dd5cb09c533fe8af903d5b11b7.php 第 70 行.
[ 2012-12-17T15:38:19+08:00 ] /ComputerAssets/index.php/User/logOn | NOTIC: [8] Undefined index:  userName d16fb8dd5cb09c533fe8af903d5b11b7.php 第 70 行.
[ 2012-12-17T15:38:19+08:00 ] /ComputerAssets/index.php/User/logOn | NOTIC: [8] Undefined variable: error d16fb8dd5cb09c533fe8af903d5b11b7.php 第 84 行.
